"Hésingue","47.566666 ","47° 34’ 34” N ","7.516667 ","007° 31’ 17” E "
"Hœrdt","48.683334 ","48° 41’ 50” N ","7.783333 ","007° 47’ 04” E "
"Illfurth","47.666668 ","47° 40’ 24” N ","7.250000 ","007° 15’ 57” E "
"Illhaeusern","48.183334 ","48° 11’ 04” N ","7.433333 ","007° 26’ 01” E "
"Illkirch–Graffenstaden","48.516666 ","48° 31’ 44” N ","7.700000 ","007° 42’ 40” E "
"Illzach","47.766666 ","47° 46’ 59” N ","7.333333 ","007° 20’ 55” E "
"Ingersheim","48.083332 ","48° 05’ 43” N ","7.300000 ","007° 18’ 25” E "
"Ingolsheim","48.966667 ","48° 58’ 30” N ","7.933333 ","007° 56’ 16” E "
"Ingwiller","48.866669 ","48° 52’ 25” N ","7.466667 ","007° 28’ 40” E "
"Issenheim","47.900002 ","47° 54’ 11” N ","7.250000 ","007° 15’ 17” E "
"Itterswiller","48.349998 ","48° 21’ 53” N ","7.416667 ","007° 25’ 54” E "
"Jebsheim","48.116669 ","48° 07’ 28” N ","7.466667 ","007° 28’ 39” E "
"Katzenthal","48.099998 ","48° 06’ 30” N ","7.266667 ","007° 16’ 58” E "
"Kaysersberg","48.133331 ","48° 08’ 21” N ","7.250000 ","007° 15’ 50” E "
"Kembs","47.683334 ","47° 41’ 23” N ","7.500000 ","007° 30’ 16” E "
"Keskastel","48.966667 ","48° 58’ 11” N ","7.033333 ","007° 02’ 38” E "
"Kientzheim","48.133331 ","48° 08’ 13” N ","7.283333 ","007° 17’ 12” E "
"Kilstett","48.666668 ","48° 40’ 35” N ","7.850000 ","007° 51’ 24” E "
"Kingersheim","47.783333 ","47° 47’ 32” N ","7.333333 ","007° 20’ 19” E "
"Kogenheim","48.333332 ","48° 20’ 17” N ","7.533333 ","007° 32’ 32” E "
"Kriegsheim","48.750000 ","48° 45’ 30” N ","7.716667 ","007° 43’ 43” E "
"Kunheim","48.066666 ","48° 04’ 37” N ","7.533333 ","007° 32’ 06” E "
"La Vancelle","48.283333 ","48° 17’ 10” N ","7.300000 ","007° 18’ 05” E "
